Epoch, Train Loss, Train Accuracy, Val Loss, Val Accuracy, Learning Rate
1,0.3187,87.24,0.2415,90.44,0.001
2,0.2202,91.61,0.2478,90.2,0.001
3,0.2035,91.98,0.1427,94.92,0.001
4,0.1973,92.06,0.1344,95.2,0.001
5,0.1917,92.52,0.1796,93.26,0.001
6,0.1837,92.72,0.1344,95.42,0.001
7,0.1858,92.63,0.2,92.1,0.001
8,0.1811,92.68,0.1935,92.5,0.001
9,0.1779,93.05,0.1793,93.18,0.001
10,0.1736,93.25,0.1926,92.4,0.001
11,0.1729,93.14,0.2004,92.02,0.001
12,0.1704,93.2,0.1453,94.76,0.001
13,0.1716,93.4,0.1736,92.94,0.001
14,0.174,93.09,0.1204,95.78,0.001
15,0.1691,93.38,0.1386,94.88,0.001
16,0.1693,93.45,0.1336,95.06,0.001
17,0.165,93.45,0.1169,95.92,0.001
18,0.1597,93.51,0.1336,95.04,0.001
19,0.1633,93.5,0.1766,92.84,0.001
20,0.1555,93.75,0.1293,95.24,0.001
21,0.1567,93.62,0.1885,92.2,0.001
